DD/MM/YYYY HH:MM:SS,T('C),P(Pa)
16/06/2021 19:20:00,31.402,98475.899
16/06/2021 19:50:00,32.632,98501.59
16/06/2021 20:20:00,33.261,98286.336
16/06/2021 20:50:00,33.1,98539.432
16/06/2021 21:20:00,33.96,99109.498
16/06/2021 21:50:00,32.464,99173.833
16/06/2021 22:20:00,34.088,98668.187
16/06/2021 22:50:00,40.896,98866.43
16/06/2021 23:20:00,43.613,99204.234
16/06/2021 23:50:00,38.137,99339.11
17/06/2021 00:20:00,31.919,99304.271
17/06/2021 00:50:00,30.386,99305.218
17/06/2021 01:20:00,29.216,99291.483
17/06/2021 01:50:00,28.424,99277.693
17/06/2021 02:20:00,27.753,99300.225
17/06/2021 02:50:00,27.166,99325.376
17/06/2021 03:20:00,26.535,99350.435
17/06/2021 03:50:00,26.098,99334.856
17/06/2021 04:20:00,25.775,99303.059
17/06/2021 04:50:00,25.081,99312.667
17/06/2021 05:20:00,24.668,99301.43
17/06/2021 05:50:00,24.338,99288.985
17/06/2021 06:20:00,24.119,99246.805
17/06/2021 06:50:00,23.906,99256.703
17/06/2021 07:20:00,23.736,99233.629
17/06/2021 07:50:00,23.601,99186.01
17/06/2021 08:20:00,23.487,99200.311
17/06/2021 08:50:00,23.375,99188.107
17/06/2021 09:20:00,23.238,99221.772
17/06/2021 09:50:00,23.087,99213.949
17/06/2021 10:20:00,23.058,99197.504
17/06/2021 10:50:00,23.074,99220.62
17/06/2021 11:20:00,23.088,99257.062
17/06/2021 11:50:00,23.097,99245.407
17/06/2021 12:20:00,23.112,99235.029
17/06/2021 12:50:00,23.138,99220.19
17/06/2021 13:20:00,23.159,99260.976
17/06/2021 13:50:00,23.198,99209.364
17/06/2021 14:20:00,23.237,99145.518
17/06/2021 14:50:00,23.269,99124.115
17/06/2021 15:20:00,23.468,98994.785
17/06/2021 15:50:00,23.563,99163.907
17/06/2021 16:20:00,23.833,99138.923
17/06/2021 16:50:00,23.954,99114.799
17/06/2021 17:20:00,24.06,99071.427
17/06/2021 17:50:00,24.151,99031.867
17/06/2021 18:20:00,24.237,99038.69
17/06/2021 18:50:00,24.294,98958.857
17/06/2021 19:20:00,24.367,98933.132
17/06/2021 19:50:00,24.407,98897.677
